specimen_date,n,total,percent,sgtf,conf_low,conf_high
09/12/2021,3506,21642,16.2,Cases with SGTF,15.71282137,16.699195
10/12/2021,19641,24714,79.47,Cases with detectable S-gene,78.96301369,79.97413471
10/12/2021,5073,24714,20.53,Cases with SGTF,20.02586529,21.03698631
11/12/2021,14186,18224,77.84,Cases with detectable S-gene,77.23083321,78.44218924
11/12/2021,4038,18224,22.16,Cases with SGTF,21.55781076,22.76916679
12/12/2021,12906,19226,67.13,Cases with detectable S-gene,66.45786865,67.79095686
12/12/2021,6320,19226,32.87,Cases with SGTF,32.20904314,33.54213135
13/12/2021,16937,29438,57.53,Cases with detectable S-gene,56.96718493,58.09980151
13/12/2021,12501,29438,42.47,Cases with SGTF,41.90019849,43.03281507
14/12/2021,15020,34714,43.27,Cases with detectable S-gene,42.74599455,43.79119102
14/12/2021,19694,34714,56.73,Cases with SGTF,56.20880898,57.25400545
15/12/2021,13775,38626,35.66,Cases with detectable S-gene,35.18497395,36.14289954
15/12/2021,24851,38626,64.34,Cases with SGTF,63.85710046,64.81502605
16/12/2021,12186,38322,31.8,Cases with detectable S-gene,31.3332536,32.26833855
16/12/2021,26136,38322,68.2,Cases with SGTF,67.73166145,68.6667464
17/12/2021,9280,31023,29.91,Cases with detectable S-gene,29.40468492,30.42688499
17/12/2021,21743,31023,70.09,Cases with SGTF,69.57311501,70.59531508
18/12/2021,6396,22481,28.45,Cases with detectable S-gene,27.86242323,29.04635118
18/12/2021,16085,22481,71.55,Cases with SGTF,70.95364882,72.13757677
